item,age_PC1,age_PC2,age_PC3,n_known_age,age_mode,prop_mode,n_mode,0_6,07_17,18_30,31_50,51_65,66_80,81+,no age,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
chudý,-0.9647869081677376,1.3778385377198359,-0.14715954454840993,32,no age,0.375,1,0.03497023809523809,0.10007440476190477,0.0740327380952381,0.09486607142857142,0.09226190476190475,0.1443452380952381,0.08444940476190475,0.375,NA,NA,chudý,poor,m,NA,cz,words,adjective,word_279,sociolex
chutnat,0.9985806057047282,0.832102190251998,-0.8313779345275178,32,no age,0.40625,1,0.12872023809523808,0.13913690476190474,0.13913690476190477,0.0974702380952381,0.055803571428571425,0.024553571428571425,0.008928571428571428,0.40625,NA,NA,chutnat,to taste,NA,NA,cz,words,verb,word_282,sociolex
chutná,0.6676599591455882,0.8145977412955285,-0.7017026191498301,31,no age,0.41935483870967744,1,0.0771889400921659,0.11589861751152074,0.18847926267281104,0.059447004608294926,0.07019969278033794,0.04600614439324116,0.023425499231950843,0.41935483870967744,NA,NA,chutná,tasty,f,NA,cz,words,adjective,word_281,sociolex
chutný,1.3036508364078665,0.3702009128330616,-1.419256096139898,30,no age,0.5,1,0.058333333333333334,0.08611111111111111,0.2472222222222222,0.08055555555555556,0.027777777777777776,0,0,0.5,NA,NA,chutný,tasty,m,NA,cz,words,adjective,word_283,sociolex
chuť,0.9905349178859877,0.5922227761496373,-0.9317643886608197,36,no age,0.4444444444444444,1,0.06468253968253967,0.11653439153439155,0.20912698412698416,0.08412698412698412,0.037830687830687826,0.03134920634920635,0.011904761904761904,0.4444444444444444,NA,NA,chuť,taste,f,i,cz,words,noun,word_280,sociolex
chybět,-0.04241797640236501,1.3588662572073067,-1.5595463059304537,33,no age,0.5454545454545454,1,0.04329004329004328,0.05844155844155843,0.08874458874458875,0.08874458874458875,0.04834054834054834,0.033189033189033185,0.09379509379509379,0.5454545454545454,NA,NA,chybět,to miss (someone),NA,NA,cz,words,verb,word_284,sociolex
chytrá,0.6939471255576656,-0.7004801808123393,-0.5597134406489728,43,no age,0.3488372093023256,1,0.013289036544850497,0.06638981173864895,0.2989479512735327,0.19429678848283494,0.04700996677740864,0.01794019933554817,0.013289036544850497,0.3488372093023256,NA,NA,chytrá,clever,f,NA,cz,words,adjective,word_285,sociolex
chytrý,0.10661287578227063,-0.13851650610876118,-0.9488649405495269,32,no age,0.40625,1,0,0.10520833333333333,0.15208333333333332,0.19375,0.084375,0.0375,0.020833333333333332,0.40625,NA,NA,chytrý,clever,m,NA,cz,words,adjective,word_286,sociolex
chápat,-0.19721718477779543,-0.05156363023923218,-1.3415744867168304,34,no age,0.4411764705882353,1,0.029411764705882353,0.051470588235294115,0.14068627450980392,0.1553921568627451,0.14068627450980392,0.03529411764705882,0.0058823529411764705,0.4411764705882353,NA,NA,chápat,to understand,NA,NA,cz,words,verb,word_247,sociolex
chřest,0.7529278125383708,0.3702778779914496,-1.6891444406444192,41,no age,0.5365853658536586,1,0.024390243902439025,0.06097560975609756,0.2154471544715447,0.08333333333333334,0.058943089430894303,0.014227642276422762,0.006097560975609756,0.5365853658536586,PICTURE_581,1,chřest,asparagus,m,i,cz,words,noun,image_357,multipic
