item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
holinky,NA,NA,holinky,boots (shoe),f,i,cz,words,noun,word_607,sociolex
holubinka,NA,NA,holubinka,mushroom (food),f,i,cz,words,noun,word_609,sociolex
homofobie,NA,NA,homofobie,homophobia,f,i,cz,words,noun,word_610,sociolex
hořčice,NA,NA,hořčice,mustard,f,i,cz,words,noun,word_613,sociolex
horolezení,NA,NA,horolezení,climbing,n,i,cz,words,noun,word_620,sociolex
horor,NA,NA,horor,horror,m,i,cz,words,noun,word_621,sociolex
hospoda,NA,NA,hospoda,pub,f,i,cz,words,noun,word_622,sociolex
houpačka,NA,NA,houpačka,swing (playground),f,i,cz,words,noun,word_628,sociolex
houska,NA,NA,houska,bread bun,f,i,cz,words,noun,word_629,sociolex
hovězí,NA,NA,hovězí,beef,n,i,cz,words,noun,word_630,sociolex
hovno,NA,NA,hovno,shit,n,i,cz,words,noun,word_631,sociolex
hra,NA,NA,hra,game,f,i,cz,words,noun,word_633,sociolex
hrábě,NA,NA,hrábě,rake,f,i,cz,words,noun,word_635,sociolex
hračka,NA,NA,hračka,toy,f,i,cz,words,noun,word_637,sociolex
hranice,NA,NA,hranice,border,f,i,cz,words,noun,word_640,sociolex
hranolky,NA,NA,hranolky,French fries,m,i,cz,words,noun,word_641,sociolex
hřib,NA,NA,hřib,mushroom (food),m,i,cz,words,noun,word_647,sociolex
hřích,NA,NA,hřích,sin,m,i,cz,words,noun,word_648,sociolex
hruď,NA,NA,hruď,chest (torso),f,i,cz,words,noun,word_652,sociolex
huba,NA,NA,huba,gob,f,i,cz,words,noun,word_653,sociolex
hudba,NA,NA,hudba,music,f,i,cz,words,noun,word_656,sociolex
hudebka,NA,NA,hudebka,musical education,f,i,cz,words,noun,word_657,sociolex
hurikán,NA,NA,hurikán,hurricane,m,i,cz,words,noun,word_660,sociolex
hyperaktivita,NA,NA,hyperaktivita,hyperactivity,f,i,cz,words,noun,word_664,sociolex
hypotéka,NA,NA,hypotéka,mortgage,f,i,cz,words,noun,word_665,sociolex
hysterie,NA,NA,hysterie,hysteria,f,i,cz,words,noun,word_668,sociolex
